epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
77,164.227,1.12678,1.92432,1.1436,1.03392,0,0.31081,0.15222,0.11067,0.05665,0.33261,0.20778,0.17405,0.05707,1.8464,3.11037,2.5438,1.58904,0,0.00121396,0.00121396,0.00121396
78,166.074,1.13144,1.97821,1.19279,1.03991,0,0.11259,0.13889,0.05589,0.02916,0.12077,0.18778,0.1158,0.04337,1.87405,3.14821,2.67449,1.59214,0,0.00121113,0.00121113,0.00121113
79,167.908,1.05832,1.90277,1.07227,1.02872,0,0.11259,0.13889,0.05589,0.02916,0.12077,0.18778,0.1158,0.04337,1.87405,3.14821,2.67449,1.59214,0,0.00120831,0.00120831,0.00120831
80,169.763,1.08985,1.88596,1.15845,1.04982,0,0.20999,0.25444,0.12444,0.06295,0.22887,0.36994,0.1624,0.05949,1.79265,2.95454,2.37515,1.53331,0,0.00120548,0.00120548,0.00120548
81,171.74,1.06011,1.85678,1.07328,1.02007,0,0.20999,0.25444,0.12444,0.06295,0.22887,0.36994,0.1624,0.05949,1.79265,2.95454,2.37515,1.53331,0,0.00120265,0.00120265,0.00120265
82,173.757,1.11587,1.91499,1.16123,1.04003,0,0.35602,0.34333,0.20341,0.09283,0.36052,0.40889,0.22098,0.08594,1.80657,3.01981,2.30691,1.53348,0,0.00119982,0.00119982,0.00119982
83,175.59,1.09141,1.86928,1.13921,1.0288,0,0.35602,0.34333,0.20341,0.09283,0.36052,0.40889,0.22098,0.08594,1.80657,3.01981,2.30691,1.53348,0,0.00119699,0.00119699,0.00119699
84,177.496,1.03891,1.77028,1.06726,1.00151,0,0.36021,0.34889,0.23188,0.11778,0.33597,0.41556,0.24231,0.10476,1.72578,3.09317,2.09617,1.47441,0,0.00119416,0.00119416,0.00119416
85,179.31,1.01723,1.70788,0.98637,1.00594,0,0.36021,0.34889,0.23188,0.11778,0.33597,0.41556,0.24231,0.10476,1.72578,3.09317,2.09617,1.47441,0,0.00119133,0.00119133,0.00119133
86,181.214,1.06106,1.93579,1.07594,0.99724,0,0.35832,0.44111,0.22106,0.12773,0.35374,0.44778,0.23263,0.10338,1.67215,2.97581,2.19935,1.41485,0,0.0011885,0.0011885,0.0011885
87,183.062,1.07921,1.8675,1.06325,1.03953,0,0.35832,0.44111,0.22106,0.12773,0.35374,0.44778,0.23263,0.10338,1.67215,2.97581,2.19935,1.41485,0,0.00118567,0.00118567,0.00118567
88,184.951,1.06062,1.89123,1.061,1.01519,0,0.35987,0.38556,0.21963,0.11908,0.38994,0.50667,0.25283,0.10584,1.72512,2.93216,2.45685,1.45902,0,0.00118284,0.00118284,0.00118284
89,186.806,1.01145,1.82267,1.11051,0.99976,0,0.35987,0.38556,0.21963,0.11908,0.38994,0.50667,0.25283,0.10584,1.72512,2.93216,2.45685,1.45902,0,0.00118001,0.00118001,0.00118001
90,188.773,1.06558,1.78779,1.06605,1.04516,0,0.30688,0.29577,0.20408,0.1097,0.34217,0.36667,0.23523,0.10121,1.70768,2.85025,2.45761,1.45703,0,0.00117718,0.00117718,0.00117718
91,190.738,1.10679,1.87889,1.07694,0.99291,0,0.30688,0.29577,0.20408,0.1097,0.34217,0.36667,0.23523,0.10121,1.70768,2.85025,2.45761,1.45703,0,0.00117435,0.00117435,0.00117435
92,192.781,1.00862,1.66841,1.03658,0.9792,0,0.29035,0.4734,0.20741,0.11609,0.31404,0.49111,0.21767,0.10149,1.6489,2.82488,2.3112,1.39731,0,0.00117152,0.00117152,0.00117152
93,194.627,1.12843,1.79462,1.19138,1.04474,0,0.29035,0.4734,0.20741,0.11609,0.31404,0.49111,0.21767,0.10149,1.6489,2.82488,2.3112,1.39731,0,0.00116869,0.00116869,0.00116869
94,196.503,1.06577,1.72551,0.97166,1.00699,0,0.33367,0.35,0.21435,0.1177,0.3414,0.36,0.2195,0.10836,1.62541,2.81976,2.26009,1.37725,0,0.00116586,0.00116586,0.00116586
95,198.352,1.00702,1.67533,0.969,0.98307,0,0.33367,0.35,0.21435,0.1177,0.3414,0.36,0.2195,0.10836,1.62541,2.81976,2.26009,1.37725,0,0.00116303,0.00116303,0.00116303
96,200.248,1.02804,1.81623,1.02393,1.00877,0,0.32559,0.35948,0.2275,0.12803,0.33097,0.36281,0.22715,0.11267,1.57117,2.84337,2.27526,1.36537,0,0.00116021,0.00116021,0.00116021
97,202.205,1.04291,1.70269,0.98681,0.98627,0,0.32559,0.35948,0.2275,0.12803,0.33097,0.36281,0.22715,0.11267,1.57117,2.84337,2.27526,1.36537,0,0.00115738,0.00115738,0.00115738
98,204.21,1.05046,1.76022,1.00146,0.99763,0,0.34196,0.37333,0.23376,0.1242,0.34833,0.37667,0.23177,0.11345,1.56041,2.87432,2.21125,1.36364,0,0.00115455,0.00115455,0.00115455
99,206.159,0.98064,1.73693,1.00045,0.98574,0,0.34196,0.37333,0.23376,0.1242,0.34833,0.37667,0.23177,0.11345,1.56041,2.87432,2.21125,1.36364,0,0.00115172,0.00115172,0.00115172
100,208.168,0.98315,1.74725,1.02978,0.97851,0,0.39799,0.34667,0.24686,0.13368,0.40165,0.35,0.24207,0.12231,1.55309,2.83024,2.07536,1.3394,0,0.00114889,0.00114889,0.00114889
101,209.996,1.01591,1.7316,0.97261,1.00903,0,0.39799,0.34667,0.24686,0.13368,0.40165,0.35,0.24207,0.12231,1.55309,2.83024,2.07536,1.3394,0,0.00114606,0.00114606,0.00114606
102,211.958,0.97522,1.64847,0.98563,0.99111,0,0.4709,0.43889,0.31743,0.18142,0.45038,0.43222,0.30598,0.17172,1.54459,2.82131,1.86405,1.32849,0,0.00114323,0.00114323,0.00114323
103,213.929,1.01961,1.71326,1.0614,1.00339,0,0.4709,0.43889,0.31743,0.18142,0.45038,0.43222,0.30598,0.17172,1.54459,2.82131,1.86405,1.32849,0,0.0011404,0.0011404,0.0011404
104,215.903,0.99273,1.71348,1.01618,0.99519,0,0.36937,0.35444,0.29326,0.15988,0.36736,0.35111,0.28048,0.14455,1.55767,2.88604,1.78262,1.35394,0,0.00113757,0.00113757,0.00113757
105,217.915,0.962,1.67067,0.90898,0.97503,0,0.36937,0.35444,0.29326,0.15988,0.36736,0.35111,0.28048,0.14455,1.55767,2.88604,1.78262,1.35394,0,0.00113474,0.00113474,0.00113474
106,219.921,1.01519,1.83246,1.05056,1.00565,0,0.25456,0.45,0.2818,0.14626,0.2538,0.45333,0.26686,0.13146,1.64818,2.90489,1.76467,1.41301,0,0.00113191,0.00113191,0.00113191
107,221.978,0.99427,1.72781,0.97522,0.99269,0,0.25456,0.45,0.2818,0.14626,0.2538,0.45333,0.26686,0.13146,1.64818,2.90489,1.76467,1.41301,0,0.00112908,0.00112908,0.00112908
108,223.969,1.01492,1.847,1.0337,1.01026,0,0.24517,0.34222,0.28928,0.14448,0.2434,0.34222,0.27849,0.1328,1.70058,2.90759,1.76488,1.42632,0,0.00112625,0.00112625,0.00112625
