epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,116.594,2.96229,3.64121,2.93303,2.94704,0,0.00203,0.06889,0.00123,0.00018,0.00084,0.00667,0.00045,9e-05,3.53392,4.6494,3.71626,3.3653,0,0.00125439,0.00125439,0.00125439
50,118.984,3.03625,3.92025,3.08471,3.00966,0,0.00485,0.2,0.02795,0.00907,0.00408,0.14111,0.00653,0.00124,3.35386,4.3622,3.59938,3.16282,0,0.00127745,0.00127745,0.00127745
51,121.359,3.02862,3.94233,2.88962,2.86251,0,0.00485,0.2,0.02795,0.00907,0.00408,0.14111,0.00653,0.00124,3.35386,4.3622,3.59938,3.16282,0,0.00128753,0.00128753,0.00128753
52,123.779,2.96181,3.79286,2.82891,2.91392,0,0.01143,0.27667,0.03825,0.01187,0.01315,0.24111,0.02649,0.00727,3.21232,4.28827,3.49156,3.04123,0,0.0012847,0.0012847,0.0012847
53,126.165,3.02703,3.64314,2.97836,2.89012,0,0.01143,0.27667,0.03825,0.01187,0.01315,0.24111,0.02649,0.00727,3.21232,4.28827,3.49156,3.04123,0,0.00128187,0.00128187,0.00128187
54,128.594,3.00255,3.85393,2.93298,2.97417,0,0.01305,0.3,0.03777,0.01234,0.01521,0.32333,0.03203,0.00852,3.07556,4.4044,3.42299,2.94311,0,0.00127904,0.00127904,0.00127904
55,130.957,2.96853,3.86719,2.8252,2.82853,0,0.01305,0.3,0.03777,0.01234,0.01521,0.32333,0.03203,0.00852,3.07556,4.4044,3.42299,2.94311,0,0.00127621,0.00127621,0.00127621
56,133.403,3.00724,3.91523,2.77105,2.84588,0,0.01876,0.53222,0.04398,0.01423,0.01936,0.59111,0.03422,0.00957,3.02211,4.26384,3.30349,2.82387,0,0.00127338,0.00127338,0.00127338
57,135.781,2.96577,3.8086,2.74762,2.80426,0,0.01876,0.53222,0.04398,0.01423,0.01936,0.59111,0.03422,0.00957,3.02211,4.26384,3.30349,2.82387,0,0.00127055,0.00127055,0.00127055
58,138.176,2.9252,3.70267,2.8618,2.77108,0,0.02189,0.52889,0.0433,0.01312,0.01885,0.53889,0.04124,0.01068,3.01006,4.12016,3.23257,2.80479,0,0.00126772,0.00126772,0.00126772
59,140.612,2.87928,3.71578,2.61532,2.71679,0,0.02189,0.52889,0.0433,0.01312,0.01885,0.53889,0.04124,0.01068,3.01006,4.12016,3.23257,2.80479,0,0.00126489,0.00126489,0.00126489
60,142.999,3.01199,3.71756,2.7332,2.76969,0,0.01787,0.54222,0.04242,0.01076,0.01965,0.55889,0.04479,0.01231,3.01522,4.07493,3.20949,2.88255,0,0.00126206,0.00126206,0.00126206
61,145.313,2.96913,3.84619,2.76705,2.76535,0,0.01787,0.54222,0.04242,0.01076,0.01965,0.55889,0.04479,0.01231,3.01522,4.07493,3.20949,2.88255,0,0.00125923,0.00125923,0.00125923
62,147.677,2.85683,3.58171,2.75209,2.75603,0,0.03136,0.34556,0.0427,0.01142,0.01734,0.43444,0.03787,0.00933,3.08647,4.27087,3.23247,2.99883,0,0.00125641,0.00125641,0.00125641
63,150.028,2.91672,3.72036,2.88624,2.80718,0,0.03136,0.34556,0.0427,0.01142,0.01734,0.43444,0.03787,0.00933,3.08647,4.27087,3.23247,2.99883,0,0.00125358,0.00125358,0.00125358
64,152.387,2.92657,3.64872,2.79291,2.73228,0,0.04622,0.28,0.04396,0.01223,0.03934,0.33222,0.03798,0.0098,3.20007,4.42157,3.19543,3.05995,0,0.00125075,0.00125075,0.00125075
65,154.703,2.85133,3.65542,2.79778,2.71205,0,0.04622,0.28,0.04396,0.01223,0.03934,0.33222,0.03798,0.0098,3.20007,4.42157,3.19543,3.05995,0,0.00124792,0.00124792,0.00124792
66,157.01,2.83834,3.48816,2.89521,2.80219,0,0.08911,0.19444,0.03964,0.01041,0.08073,0.19778,0.04024,0.01195,3.23609,4.3323,3.15714,3.09167,0,0.00124509,0.00124509,0.00124509
67,159.392,2.79439,3.47818,2.49722,2.57386,0,0.08911,0.19444,0.03964,0.01041,0.08073,0.19778,0.04024,0.01195,3.23609,4.3323,3.15714,3.09167,0,0.00124226,0.00124226,0.00124226
68,161.737,2.74161,3.49072,2.87454,2.68531,0,0.08221,0.25,0.04686,0.01191,0.08624,0.06532,0.05662,0.0171,3.02061,4.10224,3.04279,2.97843,0,0.00123943,0.00123943,0.00123943
69,164.128,2.77956,3.60961,2.74146,2.5945,0,0.08221,0.25,0.04686,0.01191,0.08624,0.06532,0.05662,0.0171,3.02061,4.10224,3.04279,2.97843,0,0.0012366,0.0012366,0.0012366
70,166.43,2.73335,3.52773,2.60964,2.64113,0,0.072,0.19111,0.04828,0.01396,0.09028,0.13556,0.05496,0.01726,2.94052,3.94133,3.04913,2.95069,0,0.00123377,0.00123377,0.00123377
71,168.743,2.78426,3.51498,2.71629,2.60015,0,0.072,0.19111,0.04828,0.01396,0.09028,0.13556,0.05496,0.01726,2.94052,3.94133,3.04913,2.95069,0,0.00123094,0.00123094,0.00123094
72,171.042,2.77802,3.42353,2.7215,2.67775,0,0.07955,0.16778,0.04932,0.01287,0.08858,0.17444,0.051,0.01558,3.21728,4.03357,3.25897,3.15054,0,0.00122811,0.00122811,0.00122811
73,173.396,2.64645,3.44226,2.7534,2.67001,0,0.07955,0.16778,0.04932,0.01287,0.08858,0.17444,0.051,0.01558,3.21728,4.03357,3.25897,3.15054,0,0.00122528,0.00122528,0.00122528
74,175.742,2.75087,3.53817,2.58851,2.56316,0,0.06984,0.20111,0.04946,0.01335,0.07234,0.20444,0.05447,0.01689,3.0104,3.89969,3.03841,2.98002,0,0.00122245,0.00122245,0.00122245
75,178.075,2.66118,3.61273,2.81079,2.65246,0,0.06984,0.20111,0.04946,0.01335,0.07234,0.20444,0.05447,0.01689,3.0104,3.89969,3.03841,2.98002,0,0.00121962,0.00121962,0.00121962
76,180.398,2.74926,3.45681,2.64662,2.6138,0,0.06869,0.34556,0.05773,0.01839,0.07141,0.40444,0.0565,0.01775,2.76005,3.94695,2.87684,2.7722,0,0.00121679,0.00121679,0.00121679
77,182.715,2.70807,3.7071,2.70161,2.61424,0,0.06869,0.34556,0.05773,0.01839,0.07141,0.40444,0.0565,0.01775,2.76005,3.94695,2.87684,2.7722,0,0.00121396,0.00121396,0.00121396
78,185.085,2.71606,3.68674,2.73038,2.62575,0,0.06113,0.42111,0.05458,0.0176,0.05917,0.47,0.05225,0.01677,2.72857,3.99477,2.89396,2.72482,0,0.00121113,0.00121113,0.00121113
79,187.41,2.63568,3.53273,2.70058,2.58688,0,0.06113,0.42111,0.05458,0.0176,0.05917,0.47,0.05225,0.01677,2.72857,3.99477,2.89396,2.72482,0,0.00120831,0.00120831,0.00120831
80,189.722,2.6581,3.51061,2.97304,2.69614,0,0.09857,0.32222,0.05164,0.01583,0.08939,0.31222,0.04597,0.01554,2.8885,3.95176,2.90769,2.84496,0,0.00120548,0.00120548,0.00120548
81,191.98,2.59576,3.37023,2.66821,2.58912,0,0.09857,0.32222,0.05164,0.01583,0.08939,0.31222,0.04597,0.01554,2.8885,3.95176,2.90769,2.84496,0,0.00120265,0.00120265,0.00120265
82,194.338,2.59746,3.53926,2.53364,2.53921,0,0.07912,0.38111,0.0505,0.01425,0.09129,0.22358,0.04666,0.01496,3.11816,4.19306,3.06438,3.03384,0,0.00119982,0.00119982,0.00119982
83,196.625,2.71275,3.56278,2.81417,2.68984,0,0.07912,0.38111,0.0505,0.01425,0.09129,0.22358,0.04666,0.01496,3.11816,4.19306,3.06438,3.03384,0,0.00119699,0.00119699,0.00119699
84,198.995,2.62073,3.63074,2.60107,2.53045,0,0.09614,0.25333,0.05317,0.01505,0.09432,0.31052,0.05222,0.01749,3.08196,4.10451,2.99847,3.01975,0,0.00119416,0.00119416,0.00119416
85,201.346,2.59606,3.47435,2.58744,2.51997,0,0.09614,0.25333,0.05317,0.01505,0.09432,0.31052,0.05222,0.01749,3.08196,4.10451,2.99847,3.01975,0,0.00119133,0.00119133,0.00119133
